Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Descriptores,5,134314,97186,275863,70781.47,0.000%,.01807,864.78,635.71,48998682.0
Clustering,5,119184,69338,171075,34643.01,0.000%,.02011,32.33,438.93,1646256.0
Entrenamiento,5,130627,62782,217631,52072.25,0.000%,.02281,3.53,501.77,158609.4
Consulta,5,7994,6116,13146,2607.35,0.000%,.04534,262.69,992.34,5933373.0
TOTAL,20,98030,6116,275863,70465.42,0.000%,.04645,643.35,1171.46,14184230.1
