Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Descriptores,7,202718,143890,283102,66053.85,0.000%,.02469,1181.36,868.43,48998682.0
Clustering,7,275909,73643,584671,182435.13,0.000%,.00967,15.20,211.02,1610237.7
Entrenamiento,7,314934,116898,586699,157971.89,0.000%,.00913,1.36,200.78,153105.7
Consulta,7,9120,261,14569,4867.98,14.286%,.01466,72.79,320.80,5085775.9
TOTAL,28,200670,261,586699,171782.89,3.571%,.02827,385.40,712.93,13961950.3
