Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Descriptores,8,270581,137676,520164,131515.34,0.000%,.01536,736.45,540.22,49103034.0
Clustering,8,460796,67503,1259982,456812.27,0.000%,.00577,7.85,125.83,1394102.0
Entrenamiento,8,573435,107948,1319691,463938.93,0.000%,.00606,0.94,133.37,158272.4
Consulta,8,11059,8639,14219,2139.02,0.000%,.00664,38.45,145.25,5933373.0
TOTAL,32,328968,8639,1319691,394599.76,0.000%,.01874,258.85,472.58,14147195.3
