Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Descriptores,13,246051,85767,505263,162420.76,23.077%,.02570,948.12,695.48,37772189.1
Clustering,13,437744,82580,770046,231932.35,7.692%,.01092,13.73,220.09,1287024.8
Entrenamiento,13,396877,64120,862365,321252.30,7.692%,.01180,1.69,239.66,146784.7
Consulta,13,71771,6741,770086,201789.12,0.000%,.01523,88.25,333.39,5933373.0
TOTAL,52,288111,6741,862365,276986.84,9.615%,.03825,421.58,855.00,11284842.9
